article_id,url,headline,section,topic_tags,published_at,author_id,word_count,language,sponsor_tag
1,https://cascadetribune.com/opinion/2024/01/why-portland-s-bike-network-needs-to-stop-pretending-the-eas-1,Why Portland's bike network needs to stop pretending the eastside doesn't exist,opinion,"[""homelessness"", ""measure_110""]",2024-01-01T14:39:36,15,1217,en,
2,https://cascadetribune.com/business/2024/01/on-semiconductor-cuts-90-jobs-as-growing-council-split-2,On Semiconductor cuts 90 jobs as growing council split,business,"[""homelessness"", ""layoffs"", ""openings_closings""]",2024-01-01T15:37:40,11,760,en,
3,https://cascadetribune.com/food_drink/2024/01/natural-wine-guide-what-s-worth-the-wait-3,Natural-wine guide: what's worth the wait,food_drink,"[""coffee_culture"", ""openings_closings""]",2024-01-01T06:44:36,19,721,en,
4,https://cascadetribune.com/housing/2024/01/portland-s-permitting-backlog-hits-the-highest-level-on-reco-4,Portland's permitting backlog hits the highest level on record,housing,"[""multnomah_county"", ""tenant_protections""]",2024-01-01T16:17:37,20,1424,en,
5,https://cascadetribune.com/transportation/2024/01/pedestrian-deaths-on-outer-division-up-as-growing-council-sp-5,Pedestrian deaths on Outer Division up as growing council split,transportation,"[""city_council"", ""ev_charging"", ""vision_zero""]",2024-01-01T07:39:49,13,601,en,
6,https://cascadetribune.com/climate/2024/01/wildfire-season-stretches-deeper-into-october-earlier-than-e-6,Wildfire season stretches deeper into October earlier than expected,climate,"[""climate_resilience"", ""heat_dome"", ""oregon_climate_action_plan"", ""wildfires""]",2024-01-01T13:04:41,3,1345,en,
7,https://cascadetribune.com/city_hall/2024/01/records-show-the-contract-was-awarded-without-bids-at-portla-7,Records show the contract was awarded without bids at Portland Bureau of Transportation,city_hall,"[""charter_reform"", ""public_records""]",2024-01-01T12:03:15,14,831,en,
8,https://cascadetribune.com/climate/2024/01/salmon-counts-on-the-columbia-tell-a-mixed-recovery-story-8,Salmon counts on the Columbia tell a mixed recovery story,climate,"[""atmospheric_river"", ""heat_dome""]",2024-01-01T19:16:58,16,1488,en,
9,https://cascadetribune.com/transportation/2024/01/why-st-johns-riders-are-paying-the-most-under-the-new-fare-s-9,Why St Johns riders are paying the most under the new fare structure,transportation,"[""parking_reform"", ""vision_zero""]",2024-01-01T12:10:44,5,963,en,
10,https://cascadetribune.com/housing/2024/01/joint-office-of-homeless-services-reports-first-quarter-unde-10,Joint Office of Homeless Services reports first quarter under new leadership,housing,"[""adu"", ""homelessness"", ""housing_authority"", ""supportive_housing""]",2024-01-01T08:19:03,15,828,en,
11,https://cascadetribune.com/opinion/2024/01/portland-s-downtown-a-reckoning-11,Portland's downtown: a reckoning,opinion,"[""decarbonization"", ""homelessness"", ""measure_110""]",2024-01-01T11:45:49,11,980,en,
12,https://cascadetribune.com/transportation/2024/01/vision-zero-report-flags-the-deadliest-year-for-pedestrians--12,Vision Zero report flags the deadliest year for pedestrians since 2017,transportation,"[""bike_infrastructure"", ""ev_charging"", ""parking_reform"", ""vision_zero""]",2024-01-01T18:15:35,5,588,en,
13,https://cascadetribune.com/culture/2024/01/pickathon-brings-a-two-day-japanese-american-storytelling-th-13,Pickathon brings a two-day Japanese-American storytelling thread to the Pearl,culture,"[""k12_arts"", ""lit_scene"", ""performing_arts""]",2024-01-01T16:07:33,17,777,en,
14,https://cascadetribune.com/city_hall/2024/01/records-show-officials-knew-about-the-leak-in-march-at-portl-14,Records show officials knew about the leak in March at Portland Bureau of Emergency Management,city_hall,"[""mayors_office"", ""washington_county""]",2024-01-02T10:00:00,22,1277,en,Portland General Energy
15,https://cascadetribune.com/city_hall/2024/01/multnomah-county-approves-a-jail-diversion-pilot-after-court-15,Multnomah County approves a jail diversion pilot after court ruling,city_hall,"[""ethics_commission"", ""mayors_office""]",2024-01-02T11:35:08,10,1608,en,
16,https://cascadetribune.com/opinion/2024/01/what-we-re-getting-wrong-about-measure-110-16,What we're getting wrong about Measure 110,opinion,"[""fentanyl_crisis"", ""public_safety"", ""trimet""]",2024-01-02T06:14:44,9,1028,en,
17,https://cascadetribune.com/climate/2024/01/wildfire-season-stretches-deeper-into-october-earlier-than-e-17,Wildfire season stretches deeper into October earlier than expected,climate,"[""oregon_climate_action_plan"", ""wildfires""]",2024-01-02T07:56:15,21,1329,en,
18,https://cascadetribune.com/culture/2024/01/inside-alberta-arts-s-queer-punk-scene-18,Inside Alberta Arts's queer punk scene,culture,"[""indie_music"", ""performing_arts""]",2024-01-02T08:59:18,6,604,en,
19,https://cascadetribune.com/housing/2024/01/rent-in-lents-the-asking-rent-gap-has-tripled-19,Rent in Lents: the asking-rent gap has tripled,housing,"[""evictions"", ""joint_office""]",2024-01-02T06:08:06,18,732,en,
20,https://cascadetribune.com/opinion/2024/01/why-the-camping-ordinance-won-t-fix-what-it-was-built-for-20,Why the camping ordinance won't fix what it was built for,opinion,"[""police_oversight"", ""ranked_choice_voting""]",2024-01-02T10:42:15,9,951,en,
