campaign_id,sponsor_name,sponsor_sector,start_date,end_date,format,fee_usd,impressions_delivered,engagement_rate,outcome_status,post_campaign_summary
1,NewsMatch Cascade,national_journalism_funder,2022-01-02,2022-01-09,event_partnership,16000,36602,0.163,completed,"NewsMatch Cascade co-presented The Cascade Tribune's panel on cross-border reporting on climate at the Old Church Concert Hall, with in-room and livestreamed reach of 36,602. Measured engagement was 16.3%. The campaign satisfied the funder's matching-gift program requirements."
2,Pacific Pinot Collective,regional_food_beverage,2022-02-05,2023-01-07,underwriting,72600,2404076,0.0145,completed,"A 48-week underwriting partnership with Pacific Pinot Collective, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 2,404,076; average click-through 1.5%. Pacific Pinot Collective reported a 22% lift in foot-traffic to participating locations during the campaign window."
3,Seventh Generation Pacific,national_consumer,2022-03-26,2022-04-02,branded_newsletter,5500,31796,0.0501,completed,"A sponsored edition of The Daily Cascade dedicated to small-batch brand growth, underwritten by Seventh Generation Pacific, reached 31,796 subscribers with a 5.0% open rate. The sponsor reported a 13% lift in PNW brand affinity scores."
4,Tualatin Valley Wines,regional_food_beverage,2022-04-09,2022-05-07,event_partnership,19800,48161,0.3437,completed,"Tualatin Valley Wines co-presented The Cascade Tribune's panel on Oregon pinot country at Revolution Hall, with in-room and livestreamed reach of 48,161. Measured engagement was 34.4%. The series drove 959 clicks to the sponsor's storefront finder."
5,First Tech Federal Mutual,regional_finance,2022-04-13,2022-05-11,sponsored_section,18900,881032,0.055,did_not_renew,"Across 4 weeks, The Cascade Tribune produced a sponsored section with First Tech Federal Mutual on small-business banking after the SBA shift, publishing 10 original articles. The series accumulated 881,032 impressions with a 5.5% engagement rate. Met all delivery targets. The sponsor did not renew in the following budget cycle; the relationship remains warm."
6,Schwabe Williams,regional_business_services,2022-04-15,2022-04-29,branded_newsletter,11200,108191,0.0905,completed,"A sponsored edition of Plate & Place dedicated to co-op ownership models, underwritten by Schwabe Williams, reached 108,191 subscribers with a 9.0% open rate. The sponsor reported 133 qualified leads attributable to the campaign."
7,Cascade Market Co-op,regional_food_beverage,2022-05-16,2022-07-18,sponsored_section,43400,1036188,0.0583,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Cascade Market Co-op on Oregon pinot country, publishing 7 original articles. The series accumulated 1,036,188 impressions with a 5.8% engagement rate. Three pieces from the series were syndicated by Eater Portland and PDX Monthly."
8,Reed College Press,regional_education,2022-05-25,2022-06-22,event_partnership,22300,26437,0.2507,completed,"Reed College Press co-presented The Cascade Tribune's panel on research at Portland State at the Portland Art Museum auditorium, with in-room and livestreamed reach of 26,437. Measured engagement was 25.1%. Reed College Press reported 520 prospective-student inquiries tied to the campaign window."
9,Portland General Energy,regional_utility,2022-07-09,2022-07-30,branded_newsletter,12000,65731,0.0658,completed,"A sponsored edition of Plate & Place dedicated to gas-to-electric residential conversion, underwritten by Portland General Energy, reached 65,731 subscribers with a 6.6% open rate. Coverage was distributed to the sponsor's residential customer base via bill insert."
10,Adventist Cascade Medical,regional_healthcare,2022-07-10,2022-10-23,longform_series,20000,912081,0.0831,completed,"A 6-part longform series on pediatric urgent care, co-funded by Adventist Cascade Medical, ran across 15 weeks. The series reached 912,081 readers with a 8.3% engagement rate. Outcomes data from the series fed into the sponsor's annual community health needs assessment."
11,Columbia Mountain Apparel,national_outdoor_lifestyle,2022-07-17,2022-09-25,sponsored_section,36800,304269,0.0524,completed,"Across 10 weeks, The Cascade Tribune produced a sponsored section with Columbia Mountain Apparel on sustainable apparel sourcing, publishing 10 original articles. The series accumulated 304,269 impressions with a 5.2% engagement rate. Two pieces were syndicated by REI Outdoor Journal and Outside."
12,Portland General Energy,regional_utility,2022-07-31,2022-10-02,sponsored_section,50000,706646,0.035,completed,"Across 9 weeks, The Cascade Tribune produced a sponsored section with Portland General Energy on the Climate Protection Program rollout, publishing 8 original articles. The series accumulated 706,646 impressions with a 3.5% engagement rate. The sponsor cited the series in its rate-case filing as evidence of customer education investment."
13,Allbirds Pacific,national_consumer,2022-08-20,2022-11-12,sponsored_section,60000,987208,0.0284,completed,"Across 12 weeks, The Cascade Tribune produced a sponsored section with Allbirds Pacific on climate-conscious consumption, publishing 10 original articles. The series accumulated 987,208 impressions with a 2.8% engagement rate. The series generated 3,283 qualified leads."
14,Collins Family Foundation,pnw_community_foundation,2022-08-21,2022-09-25,sponsored_section,15000,306285,0.0796,completed,"Across 5 weeks, The Cascade Tribune produced a sponsored section with Collins Family Foundation on journalism sustainability, publishing 9 original articles. The series accumulated 306,285 impressions with a 8.0% engagement rate. The campaign supported the launch of the foundation's regional grantee portfolio."
15,NewsMatch Cascade,national_journalism_funder,2022-09-28,2022-10-26,event_partnership,19900,50108,0.1753,completed,"NewsMatch Cascade co-presented The Cascade Tribune's panel on investigative journalism on housing at the Alberta Rose Theatre, with in-room and livestreamed reach of 50,108. Measured engagement was 17.5%. Three pieces were re-published in the funder's national best-of digest."
16,Powell's Community Foundation,pnw_community_foundation,2022-10-17,2022-12-05,sponsored_section,24900,341627,0.0307,did_not_renew,"Across 7 weeks, The Cascade Tribune produced a sponsored section with Powell's Community Foundation on community-driven climate adaptation, publishing 12 original articles. The series accumulated 341,627 impressions with a 3.1% engagement rate. Met all delivery targets. The sponsor did not renew in the following budget cycle; the relationship remains warm."
17,Cascadia Credit Union,regional_finance,2022-11-08,2022-11-29,branded_newsletter,9700,58427,0.0343,underdelivered,"A sponsored edition of The Daily Cascade dedicated to sustainable lending in Oregon, underwritten by Cascadia Credit Union, reached 58,427 subscribers with a 3.4% open rate. The campaign delivered against its impression target but engagement fell short. Post-mortem identified topic-fit drift between the original brief and what editorial actually produced."
18,Northwest Natural Energy,regional_utility,2022-11-17,2023-02-16,longform_series,42100,1296554,0.077,completed,"A 4-part longform series on wildfire season mitigation, co-funded by Northwest Natural Energy, ran across 13 weeks. The series reached 1,296,554 readers with a 7.7% engagement rate. The sponsor cited the series in its rate-case filing as evidence of customer education investment."
19,Cascadia Outfitters Co-op,national_outdoor_lifestyle,2022-11-20,2023-08-20,underwriting,198600,2428526,0.0225,completed,"A 39-week underwriting partnership with Cascadia Outfitters Co-op, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 2,428,526; average click-through 2.2%. The campaign supported the sponsor's launch of its Cascade-region storytelling hub."
20,Legacy West Health,regional_healthcare,2022-11-24,2022-12-01,branded_newsletter,5000,121718,0.0515,completed,"A sponsored edition of Plate & Place dedicated to rural medicine in the Willamette Valley, underwritten by Legacy West Health, reached 121,718 subscribers with a 5.1% open rate. The campaign supported the sponsor's outreach to 4,528 previously unenrolled patients."
21,Cascadia Outfitters Co-op,national_outdoor_lifestyle,2022-11-25,2022-12-09,branded_newsletter,5900,115626,0.0487,completed,"A sponsored edition of Plate & Place dedicated to outdoor-recreation equity, underwritten by Cascadia Outfitters Co-op, reached 115,626 subscribers with a 4.9% open rate. Two pieces were syndicated by REI Outdoor Journal and Outside."
22,Kaiser Cascade Network,regional_healthcare,2022-11-25,2022-12-23,sponsored_section,27900,875083,0.0419,completed,"Across 4 weeks, The Cascade Tribune produced a sponsored section with Kaiser Cascade Network on behavioral-health access in East Portland, publishing 8 original articles. The series accumulated 875,083 impressions with a 4.2% engagement rate. The campaign supported the sponsor's outreach to 4,774 previously unenrolled patients."
23,Oregon Health Authority,state_local_govt,2022-11-26,2023-01-07,sponsored_section,36700,1032866,0.0683,completed,"Across 6 weeks, The Cascade Tribune produced a sponsored section with Oregon Health Authority on Vision Zero implementation, publishing 8 original articles. The series accumulated 1,032,866 impressions with a 6.8% engagement rate. Coverage reached approximately 26,651 Oregon households through cross-channel distribution."
24,Patagonia Pacific Northwest,national_outdoor_lifestyle,2022-12-05,2023-01-09,sponsored_section,24200,672853,0.0319,completed,"Across 5 weeks, The Cascade Tribune produced a sponsored section with Patagonia Pacific Northwest on outdoor-recreation equity, publishing 9 original articles. The series accumulated 672,853 impressions with a 3.2% engagement rate. Two pieces were syndicated by REI Outdoor Journal and Outside."
25,Spirit Mountain Cascade Fund,pnw_community_foundation,2023-01-26,2023-02-09,event_partnership,22100,54978,0.2725,did_not_renew,"Spirit Mountain Cascade Fund co-presented The Cascade Tribune's panel on journalism sustainability at the Old Church Concert Hall, with in-room and livestreamed reach of 54,978. Measured engagement was 27.3%. The campaign delivered against its targets, but the sponsor opted not to renew, citing a planned shift to a different audience strategy."
26,Cascade Market Co-op,regional_food_beverage,2023-02-20,2023-07-03,longform_series,60000,763712,0.1348,completed,"A 5-part longform series on the cooperative-bakery renaissance, co-funded by Cascade Market Co-op, ran across 19 weeks. The series reached 763,712 readers with a 13.5% engagement rate. Cascade Market Co-op reported a 22% lift in foot-traffic to participating locations during the campaign window."
27,Cascade Market Co-op,regional_food_beverage,2023-03-09,2023-03-30,branded_newsletter,12000,65417,0.0695,completed,"A sponsored edition of Plate & Place dedicated to Portland's specialty-coffee scene, underwritten by Cascade Market Co-op, reached 65,417 subscribers with a 7.0% open rate. Cascade Market Co-op reported a 14% lift in foot-traffic to participating locations during the campaign window."
28,Filson Northwest,national_outdoor_lifestyle,2023-04-12,2023-06-28,longform_series,26200,654872,0.1446,completed,"A 4-part longform series on public-lands access, co-funded by Filson Northwest, ran across 11 weeks. The series reached 654,872 readers with a 14.5% engagement rate. The campaign supported the sponsor's launch of its Cascade-region storytelling hub."
29,Cascadia Credit Union,regional_finance,2023-04-20,2023-06-01,sponsored_section,41600,521538,0.0511,completed,"Across 6 weeks, The Cascade Tribune produced a sponsored section with Cascadia Credit Union on small-business banking after the SBA shift, publishing 12 original articles. The series accumulated 521,538 impressions with a 5.1% engagement rate. The sponsor cited the series in its 2025 community reinvestment filing."
30,Northwest Natural Energy,regional_utility,2023-04-23,2023-12-03,underwriting,90300,3800844,0.0282,completed,"A 32-week underwriting partnership with Northwest Natural Energy, providing low-frequency sponsor recognition across The Cascade Tribune's flagship pages, daily newsletter, and event programming. Total estimated impression reach: 3,800,844; average click-through 2.8%. 2,815 customers signed up for the sponsor's energy-efficiency rebate program during the campaign."
